price,bed,bath,carport,surface_area(m2),building_area(m2),location
900000000.0,2,2,1,133.0,80.0,3
2360000000.0,4,3,1,182.0,135.0,3
850000000.0,2,2,1,106.0,62.0,3
600000000.0,3,2,1,123.0,105.0,3
2600000000.0,5,4,2,150.0,150.0,3
1700000000.0,4,3,2,110.0,114.0,3
1970000000.0,4,3,3,135.0,165.0,3
1750000000.0,8,4,2,176.0,340.0,3
1200000000.0,7,3,1,157.0,120.0,3
970000000.0,4,2,1,176.0,90.0,3
8900000000.0,5,5,4,999.7599999999998,820.0,3
5900000000.0,4,4,4,999.7599999999998,620.0,3
9987999999.999989,13,13,6,999.7599999999998,350.0,4
675000000.0,3,2,1,125.0,65.0,3
675000000.0,3,2,1,125.0,65.0,3
795000000.0,3,2,1,98.0,85.0,3
580000000.0,3,2,1,100.0,80.0,3
580000000.0,3,2,1,100.0,80.0,3
2350000000.0,10,10,4,103.0,255.0,3
2200000000.0,4,2,2,250.0,180.0,3
549000000.0,2,1,1,90.0,45.0,3
549000000.0,2,1,1,90.0,45.0,3
585000000.0,3,2,1,100.0,58.0,3
585000000.0,3,2,1,100.0,58.0,3
8000000000.0,11,6,4,618.0,388.0,3
500000000.0,2,2,1,120.0,45.0,3
500000000.0,2,2,1,120.0,45.0,3
1100000000.0,4,2,1,115.0,205.0,3
720000000.0,3,2,1,87.0,80.0,3
720000000.0,3,2,1,87.0,80.0,3
2300000000.0,4,3,2,160.0,150.0,3
399000000.0,2,2,1,100.0,50.0,3
1350000000.0,3,2,1,105.0,120.0,4
1300000000.0,3,2,2,161.0,120.0,4
875000000.0,3,2,1,85.0,125.0,4
235000000.0,2,1,1,73.0,30.0,3
799000000.0,3,1,1,119.0,80.0,4
1000000000.0,5,3,2,180.0,120.0,4
998000000.0,3,3,1,103.0,100.0,4
8000000000.0,7,4,6,999.7599999999998,961.5999999999917,4
1300000000.0,5,2,2,112.0,200.0,4
1300000000.0,5,4,2,150.0,200.0,4
2430000000.0,4,3,1,192.0,135.0,3
302000000.0,3,2,1,121.0,60.0,4
480000000.0,3,1,1,98.0,50.0,0
1000000000.0,7,5,1,110.0,110.0,0
1500000000.0,3,4,2,151.0,161.0,4
2650000000.0,4,3,1,213.0,135.0,3
2950000000.0,15,15,2,200.0,400.0,3
155000000.0,2,1,1,88.0,36.0,3
2100000000.0,3,2,1,223.0,200.0,3
2490000000.0,4,3,1,200.0,135.0,3
591000000.0,2,1,1,84.0,40.0,3
650000000.0,5,2,1,161.0,130.0,3
571000000.0,2,1,1,79.0,40.0,3
1380000000.0,3,2,1,103.0,100.0,3
325000000.0,2,1,1,70.0,36.0,2
337000000.0,2,1,1,74.0,36.0,2
331000000.0,2,1,1,72.0,36.0,2
2880000000.0,11,11,1,207.0,208.0,3
725000000.0,4,2,1,130.0,100.0,3
1350000000.0,3,2,1,100.0,103.0,3
520000000.0,2,1,1,90.0,50.0,3
7250000000.0,23,11,3,500.0,550.0,4
2400000000.0,4,3,1,187.0,135.0,3
950000000.0,3,2,1,175.0,120.0,3
1480000000.0,3,2,1,125.0,100.0,3
2200000000.0,10,10,2,122.0,190.0,3
2430000000.0,4,3,1,192.0,135.0,3
2460000000.0,4,3,1,196.0,135.0,3
2360000000.0,4,3,1,182.0,135.0,3
2400000000.0,4,3,1,187.0,135.0,3
2650000000.0,4,3,1,213.0,135.0,3
1950000000.0,4,3,1,630.0,350.0,0
700000000.0,2,2,1,108.0,100.0,3
556000000.0,2,1,1,84.0,46.0,4
2530000000.0,4,4,2,175.0,130.0,4
549000000.0,2,1,1,90.0,45.0,3
898000000.0,3,2,1,90.0,65.0,4
8000000000.0,24,24,4,385.0,420.0,3
850000000.0,3,1,1,96.0,70.0,3
350000000.0,2,1,1,115.0,36.0,3
2970000000.0,5,2,1,143.0,232.0,4
1600000000.0,12,12,1,425.0,200.0,4
3800000000.0,5,3,1,472.0,130.0,3
2250000000.0,4,2,2,138.0,151.0,3
4250000000.0,3,3,6,425.0,150.0,4
2540000000.0,4,4,2,175.0,130.0,4
950000000.0,3,4,1,135.0,180.0,4
2300000000.0,3,3,2,204.0,178.0,3
525000000.0,2,1,1,126.0,36.0,4
499000000.0,2,1,1,141.0,56.0,3
1500000000.0,4,2,1,218.0,150.0,3
2109999999.0,3,2,1,110.0,107.0,3
3870000000.0,3,3,2,204.0,142.0,3
3230000000.0,3,3,2,153.0,135.0,3
1250000000.0,2,1,1,135.0,45.0,4
575000000.0,3,2,1,129.0,80.0,3
